#;D_factor;Vi_ino;Inoc_type;TS_inoc ;VS_inoc ;T_inoc ;Incuba;Feed;TS_feed;VS_feed;CODt ;T_strategy;T_i ;T_f;OLR_strategy;OLR_level;Mean_OLR;Design_OLR;HRT_i;HRT_f;VFA_high;VFA_SS;Biogas_SS;Methane_SS;Period_t;R_scale;Working volume;Nbr_stages
54;3,44;28;Mixture;;48;mesophilic;YES;OSW;108;64;93,8;T_one_step;35;55;Constant;1;6,8;6,8;9;9;;;3,7;0,31;20;lab;3;1
55;;;DG;22;13,2;mesophilic;NO;OSW;101,5;81,2;125,048;T_constant;37;37;Dynamic ;4;4,36;7,18;;;;;1,79;0,53;31;lab;1,64;1
56;;;DG;22;13,2;mesophilic;NO;OSW;101,5;81,2;125,048;T_constant;37;37;Dynamic ;4;2,65;2,88;;;;;2,02;0,64;31;lab;1,64;1
57;;;DG;22;13,2;mesophilic;NO;OSW;101,5;81,2;125,048;T_constant;37;37;Dynamic ;4;4,02;7,23;;;;;1,88;0,58;31;lab;1,64;1
58;0;;DG;;;;YES;OSW;105,7;92,1;;T_constant;55;55;Step-wise incremential;2;0,75;1;20;20;1800;20;;;38;pilot/full;55;1
59;;;DG;15,5;11,2;mesophilic;YES;OSW;24;16;;T_step-wise ;35;55;Constant;1;0,5336;0,53;30;30;3000;3000;0,16;;26;lab;1,5;1
60;;;DG;15,5;11,2;mesophilic;YES;OSW;24;16;;T_one_step;35;55;Constant;1;0,5336;0,53;30;30;10500;;0,2;0,226;26;lab;1,5;1
61;;;DG;21,5;13,1;mesophilic;YES;OSW;24;16;;T_step-wise ;35;55;Constant;1;0,5336;0,53;30;30;6500;;0,2;;26;lab;1,5;1
62;;;DG;21,5;13,1;mesophilic;YES;OSW;24;16;;T_one_step;35;55;Constant;1;0,5336;0,53;30;30;5200;;0,4;0,453;26;lab;1,5;1
63;0;;DG;9,9;8,3;mesophilic;YES;OSW;331;314,3;;T_one_step;37;55;Step-wise;2;2,25;3;;;3800;700;2,93;0,5;16;lab;0,8;1
64;0;;DG;9,9;8,3;mesophilic;YES;OSW;331;314,3;;T_one_step;37;55;Step-wise;2;2,25;3;;;4000;500;3,45;0,59;16;lab;0,8;1
